State,City,Year,Month,Day,Store type,Price per kilogram
Veracruz,Veracruz,2023,8,11,Mom and Pop Store,22.75
Veracruz,Xalapa,2023,8,11,Mom and Pop Store,22.5
Yucatán,Mérida,2023,8,11,Mom and Pop Store,27.64
Zacatecas,Zacatecas,2023,8,11,Mom and Pop Store,21.0
Aguascalientes,Aguascalientes,2023,8,14,Mom and Pop Store,22.0
Baja California,Mexicali,2023,8,14,Mom and Pop Store,30.14
Baja California,Tijuana,2023,8,14,Mom and Pop Store,25.64
Baja California Sur,La Paz,2023,8,14,Mom and Pop Store,27.0
Campeche,Campeche,2023,8,14,Mom and Pop Store,25.0
Coahuila,Piedras Negras,2023,8,14,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,8,14,Mom and Pop Store,22.0
Coahuila,Torreón,2023,8,14,Mom and Pop Store,24.0
Colima,Colima,2023,8,14,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,8,14,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,8,14,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,8,14,Mom and Pop Store,25.5
Chihuahua,Cd. Juárez,2023,8,14,Mom and Pop Store,24.22
D.F.,D.F.,2023,8,14,Mom and Pop Store,20.15
D.F.,ZM D.F.,2023,8,14,Mom and Pop Store,19.96
Durango,Durango,2023,8,14,Mom and Pop Store,21.5
Durango,Gómez Palacio,2023,8,14,Mom and Pop Store,26.5
Guanajuato,Celaya,2023,8,14,Mom and Pop Store,24.0
Guanajuato,León,2023,8,14,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,8,14,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,8,14,Mom and Pop Store,26.0
Hidalgo,Pachuca,2023,8,14,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,8,14,Mom and Pop Store,24.85
Jalisco,ZM Guadalajara,2023,8,14,Mom and Pop Store,24.65
Edo. México,Toluca,2023,8,14,Mom and Pop Store,19.43
Michoacán,Morelia,2023,8,14,Mom and Pop Store,21.86
Morelos,Cuernavaca,2023,8,14,Mom and Pop Store,26.0
Nayarit,Tepic,2023,8,14,Mom and Pop Store,23.67
Nuevo León,Monterrey,2023,8,14,Mom and Pop Store,24.63
Nuevo León,ZM Monterrey,2023,8,14,Mom and Pop Store,24.37
Oaxaca,Oaxaca,2023,8,14,Mom and Pop Store,22.67
Puebla,Puebla,2023,8,14,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,8,14,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,8,14,Mom and Pop Store,24.0
Quintana Roo,Cancún,2023,8,14,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,8,14,Mom and Pop Store,26.0
San Luis Potosí,San Luis Potosí,2023,8,14,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,8,14,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,8,14,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,8,14,Mom and Pop Store,30.83
Sonora,Nogales,2023,8,14,Mom and Pop Store,28.0
Sonora,San Luis Río Colorado,2023,8,14,Mom and Pop Store,30.33
Tabasco,Villahermosa,2023,8,14,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,8,14,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,8,14,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,8,14,Mom and Pop Store,26.33
Tamaulipas,Reynosa,2023,8,14,Mom and Pop Store,27.25
Tamaulipas,Tampico,2023,8,14,Mom and Pop Store,27.0
Tlaxcala,Tlaxcala,2023,8,14,Mom and Pop Store,17.0
Veracruz,Coatzacoalcos,2023,8,14,Mom and Pop Store,23.0
Veracruz,Veracruz,2023,8,14,Mom and Pop Store,22.75
Veracruz,Xalapa,2023,8,14,Mom and Pop Store,22.5
Yucatán,Mérida,2023,8,14,Mom and Pop Store,27.64
Zacatecas,Zacatecas,2023,8,14,Mom and Pop Store,21.0
Aguascalientes,Aguascalientes,2023,8,16,Mom and Pop Store,22.0
Baja California,Mexicali,2023,8,16,Mom and Pop Store,30.14
Baja California,Tijuana,2023,8,16,Mom and Pop Store,25.64
Baja California Sur,La Paz,2023,8,16,Mom and Pop Store,27.0
Campeche,Campeche,2023,8,16,Mom and Pop Store,25.0
Coahuila,Piedras Negras,2023,8,16,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,8,16,Mom and Pop Store,22.0
Coahuila,Torreón,2023,8,16,Mom and Pop Store,24.0
Colima,Colima,2023,8,16,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,8,16,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,8,16,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,8,16,Mom and Pop Store,25.5
Chihuahua,Cd. Juárez,2023,8,16,Mom and Pop Store,24.22
D.F.,D.F.,2023,8,16,Mom and Pop Store,20.15
D.F.,ZM D.F.,2023,8,16,Mom and Pop Store,19.96
Durango,Durango,2023,8,16,Mom and Pop Store,21.5
Durango,Gómez Palacio,2023,8,16,Mom and Pop Store,26.5
Guanajuato,Celaya,2023,8,16,Mom and Pop Store,24.0
Guanajuato,León,2023,8,16,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,8,16,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,8,16,Mom and Pop Store,26.0
Hidalgo,Pachuca,2023,8,16,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,8,16,Mom and Pop Store,24.85
Jalisco,ZM Guadalajara,2023,8,16,Mom and Pop Store,24.55
Edo. México,Toluca,2023,8,16,Mom and Pop Store,19.43
Michoacán,Morelia,2023,8,16,Mom and Pop Store,21.86
Morelos,Cuernavaca,2023,8,16,Mom and Pop Store,26.0
Nayarit,Tepic,2023,8,16,Mom and Pop Store,23.67
Nuevo León,Monterrey,2023,8,16,Mom and Pop Store,24.63
Nuevo León,ZM Monterrey,2023,8,16,Mom and Pop Store,24.42
Oaxaca,Oaxaca,2023,8,16,Mom and Pop Store,22.67
Puebla,Puebla,2023,8,16,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,8,16,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,8,16,Mom and Pop Store,24.0
Quintana Roo,Cancún,2023,8,16,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,8,16,Mom and Pop Store,26.0
San Luis Potosí,San Luis Potosí,2023,8,16,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,8,16,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,8,16,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,8,16,Mom and Pop Store,30.83
Sonora,Nogales,2023,8,16,Mom and Pop Store,28.0
Sonora,San Luis Río Colorado,2023,8,16,Mom and Pop Store,30.33
Tabasco,Villahermosa,2023,8,16,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,8,16,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,8,16,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,8,16,Mom and Pop Store,26.33
Tamaulipas,Reynosa,2023,8,16,Mom and Pop Store,27.25
Tamaulipas,Tampico,2023,8,16,Mom and Pop Store,27.0
Tlaxcala,Tlaxcala,2023,8,16,Mom and Pop Store,17.0
Veracruz,Coatzacoalcos,2023,8,16,Mom and Pop Store,23.0
Veracruz,Veracruz,2023,8,16,Mom and Pop Store,22.75
Veracruz,Xalapa,2023,8,16,Mom and Pop Store,22.5
Yucatán,Mérida,2023,8,16,Mom and Pop Store,27.64
Zacatecas,Zacatecas,2023,8,16,Mom and Pop Store,21.0
Aguascalientes,Aguascalientes,2023,8,18,Mom and Pop Store,22.0
Baja California,Mexicali,2023,8,18,Mom and Pop Store,30.14
Baja California,Tijuana,2023,8,18,Mom and Pop Store,25.64
Baja California Sur,La Paz,2023,8,18,Mom and Pop Store,27.0
Campeche,Campeche,2023,8,18,Mom and Pop Store,25.0
Coahuila,Piedras Negras,2023,8,18,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,8,18,Mom and Pop Store,22.0
Coahuila,Torreón,2023,8,18,Mom and Pop Store,24.0
Colima,Colima,2023,8,18,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,8,18,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,8,18,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,8,18,Mom and Pop Store,25.5
Chihuahua,Cd. Juárez,2023,8,18,Mom and Pop Store,24.22
D.F.,D.F.,2023,8,18,Mom and Pop Store,20.15
D.F.,ZM D.F.,2023,8,18,Mom and Pop Store,19.96
Durango,Durango,2023,8,18,Mom and Pop Store,21.5
Durango,Gómez Palacio,2023,8,18,Mom and Pop Store,26.5
Guanajuato,Celaya,2023,8,18,Mom and Pop Store,24.0
Guanajuato,León,2023,8,18,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,8,18,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,8,18,Mom and Pop Store,26.0
Hidalgo,Pachuca,2023,8,18,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,8,18,Mom and Pop Store,24.73
Jalisco,ZM Guadalajara,2023,8,18,Mom and Pop Store,24.65
Edo. México,Toluca,2023,8,18,Mom and Pop Store,19.43
Michoacán,Morelia,2023,8,18,Mom and Pop Store,21.86
Morelos,Cuernavaca,2023,8,18,Mom and Pop Store,26.0
Nayarit,Tepic,2023,8,18,Mom and Pop Store,23.67
Nuevo León,Monterrey,2023,8,18,Mom and Pop Store,24.63
Nuevo León,ZM Monterrey,2023,8,18,Mom and Pop Store,24.37
Oaxaca,Oaxaca,2023,8,18,Mom and Pop Store,22.67
Puebla,Puebla,2023,8,18,Mom and Pop Store,15.85
Puebla,ZM Puebla,2023,8,18,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,8,18,Mom and Pop Store,24.0
Quintana Roo,Cancún,2023,8,18,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,8,18,Mom and Pop Store,26.0
San Luis Potosí,San Luis Potosí,2023,8,18,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,8,18,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,8,18,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,8,18,Mom and Pop Store,30.83
Sonora,Nogales,2023,8,18,Mom and Pop Store,28.0
Sonora,San Luis Río Colorado,2023,8,18,Mom and Pop Store,30.33
Tabasco,Villahermosa,2023,8,18,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,8,18,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,8,18,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,8,18,Mom and Pop Store,26.33
Tamaulipas,Reynosa,2023,8,18,Mom and Pop Store,27.25
Tamaulipas,Tampico,2023,8,18,Mom and Pop Store,27.0
Tlaxcala,Tlaxcala,2023,8,18,Mom and Pop Store,17.0
Veracruz,Coatzacoalcos,2023,8,18,Mom and Pop Store,23.0
Veracruz,Veracruz,2023,8,18,Mom and Pop Store,22.75
Veracruz,Xalapa,2023,8,18,Mom and Pop Store,22.5
Yucatán,Mérida,2023,8,18,Mom and Pop Store,27.64
Zacatecas,Zacatecas,2023,8,18,Mom and Pop Store,21.0
Aguascalientes,Aguascalientes,2023,8,21,Mom and Pop Store,22.0
Baja California,Mexicali,2023,8,21,Mom and Pop Store,30.14
Baja California,Tijuana,2023,8,21,Mom and Pop Store,25.64
Baja California Sur,La Paz,2023,8,21,Mom and Pop Store,27.0
Campeche,Campeche,2023,8,21,Mom and Pop Store,25.0
Coahuila,Piedras Negras,2023,8,21,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,8,21,Mom and Pop Store,22.0
Coahuila,Torreón,2023,8,21,Mom and Pop Store,24.0
Colima,Colima,2023,8,21,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,8,21,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,8,21,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,8,21,Mom and Pop Store,25.5
Chihuahua,Cd. Juárez,2023,8,21,Mom and Pop Store,24.22
D.F.,D.F.,2023,8,21,Mom and Pop Store,20.15
D.F.,ZM D.F.,2023,8,21,Mom and Pop Store,19.96
Durango,Durango,2023,8,21,Mom and Pop Store,21.5
Durango,Gómez Palacio,2023,8,21,Mom and Pop Store,26.5
Guanajuato,Celaya,2023,8,21,Mom and Pop Store,24.0
Guanajuato,León,2023,8,21,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,8,21,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,8,21,Mom and Pop Store,26.0
Hidalgo,Pachuca,2023,8,21,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,8,21,Mom and Pop Store,24.85
Jalisco,ZM Guadalajara,2023,8,21,Mom and Pop Store,24.65
Edo. México,Toluca,2023,8,21,Mom and Pop Store,19.43
Michoacán,Morelia,2023,8,21,Mom and Pop Store,21.71
Morelos,Cuernavaca,2023,8,21,Mom and Pop Store,26.0
Nayarit,Tepic,2023,8,21,Mom and Pop Store,23.67
Nuevo León,Monterrey,2023,8,21,Mom and Pop Store,24.75
Nuevo León,ZM Monterrey,2023,8,21,Mom and Pop Store,24.58
Oaxaca,Oaxaca,2023,8,21,Mom and Pop Store,22.67
Puebla,Puebla,2023,8,21,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,8,21,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,8,21,Mom and Pop Store,24.0
Quintana Roo,Cancún,2023,8,21,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,8,21,Mom and Pop Store,26.0
San Luis Potosí,San Luis Potosí,2023,8,21,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,8,21,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,8,21,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,8,21,Mom and Pop Store,30.83
Sonora,Nogales,2023,8,21,Mom and Pop Store,28.0
Sonora,San Luis Río Colorado,2023,8,21,Mom and Pop Store,30.33
Tabasco,Villahermosa,2023,8,21,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,8,21,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,8,21,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,8,21,Mom and Pop Store,26.33
Tamaulipas,Reynosa,2023,8,21,Mom and Pop Store,27.25
Tamaulipas,Tampico,2023,8,21,Mom and Pop Store,27.0
Tlaxcala,Tlaxcala,2023,8,21,Mom and Pop Store,17.0
Veracruz,Coatzacoalcos,2023,8,21,Mom and Pop Store,23.0
Veracruz,Veracruz,2023,8,21,Mom and Pop Store,22.75
Veracruz,Xalapa,2023,8,21,Mom and Pop Store,22.5
Yucatán,Mérida,2023,8,21,Mom and Pop Store,27.64
Zacatecas,Zacatecas,2023,8,21,Mom and Pop Store,21.0
Aguascalientes,Aguascalientes,2023,8,23,Mom and Pop Store,22.0
Baja California,Mexicali,2023,8,23,Mom and Pop Store,30.14
Baja California,Tijuana,2023,8,23,Mom and Pop Store,25.64
Baja California Sur,La Paz,2023,8,23,Mom and Pop Store,27.0
Campeche,Campeche,2023,8,23,Mom and Pop Store,25.0
Coahuila,Piedras Negras,2023,8,23,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,8,23,Mom and Pop Store,22.0
Coahuila,Torreón,2023,8,23,Mom and Pop Store,24.0
Colima,Colima,2023,8,23,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,8,23,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,8,23,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,8,23,Mom and Pop Store,25.5
Chihuahua,Cd. Juárez,2023,8,23,Mom and Pop Store,24.22
D.F.,D.F.,2023,8,23,Mom and Pop Store,20.15
D.F.,ZM D.F.,2023,8,23,Mom and Pop Store,19.96
Durango,Durango,2023,8,23,Mom and Pop Store,21.5
Durango,Gómez Palacio,2023,8,23,Mom and Pop Store,26.5
Guanajuato,Celaya,2023,8,23,Mom and Pop Store,24.0
Guanajuato,León,2023,8,23,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,8,23,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,8,23,Mom and Pop Store,26.0
Hidalgo,Pachuca,2023,8,23,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,8,23,Mom and Pop Store,24.85
Jalisco,ZM Guadalajara,2023,8,23,Mom and Pop Store,24.65
Edo. México,Toluca,2023,8,23,Mom and Pop Store,19.43
Michoacán,Morelia,2023,8,23,Mom and Pop Store,21.86
Morelos,Cuernavaca,2023,8,23,Mom and Pop Store,26.0
Nayarit,Tepic,2023,8,23,Mom and Pop Store,23.67
Nuevo León,Monterrey,2023,8,23,Mom and Pop Store,24.75
Nuevo León,ZM Monterrey,2023,8,23,Mom and Pop Store,24.58
Oaxaca,Oaxaca,2023,8,23,Mom and Pop Store,22.67
Puebla,Puebla,2023,8,23,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,8,23,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,8,23,Mom and Pop Store,24.0
Quintana Roo,Cancún,2023,8,23,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,8,23,Mom and Pop Store,26.0
San Luis Potosí,San Luis Potosí,2023,8,23,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,8,23,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,8,23,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,8,23,Mom and Pop Store,30.83
Sonora,Nogales,2023,8,23,Mom and Pop Store,28.0
Sonora,San Luis Río Colorado,2023,8,23,Mom and Pop Store,30.33
Tabasco,Villahermosa,2023,8,23,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,8,23,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,8,23,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,8,23,Mom and Pop Store,26.33
Tamaulipas,Reynosa,2023,8,23,Mom and Pop Store,27.25
Tamaulipas,Tampico,2023,8,23,Mom and Pop Store,27.0
Tlaxcala,Tlaxcala,2023,8,23,Mom and Pop Store,17.0
Veracruz,Coatzacoalcos,2023,8,23,Mom and Pop Store,23.0
Veracruz,Veracruz,2023,8,23,Mom and Pop Store,22.75
Veracruz,Xalapa,2023,8,23,Mom and Pop Store,22.5
Yucatán,Mérida,2023,8,23,Mom and Pop Store,27.64
Zacatecas,Zacatecas,2023,8,23,Mom and Pop Store,21.0
Aguascalientes,Aguascalientes,2023,8,25,Mom and Pop Store,22.0
Baja California,Mexicali,2023,8,25,Mom and Pop Store,30.14
Baja California,Tijuana,2023,8,25,Mom and Pop Store,25.64
Baja California Sur,La Paz,2023,8,25,Mom and Pop Store,27.0
Campeche,Campeche,2023,8,25,Mom and Pop Store,25.0
Coahuila,Piedras Negras,2023,8,25,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,8,25,Mom and Pop Store,22.0
Coahuila,Torreón,2023,8,25,Mom and Pop Store,24.0
Colima,Colima,2023,8,25,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,8,25,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,8,25,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,8,25,Mom and Pop Store,25.5
Chihuahua,Cd. Juárez,2023,8,25,Mom and Pop Store,24.22
D.F.,D.F.,2023,8,25,Mom and Pop Store,20.15
D.F.,ZM D.F.,2023,8,25,Mom and Pop Store,19.96
Durango,Durango,2023,8,25,Mom and Pop Store,21.5
Durango,Gómez Palacio,2023,8,25,Mom and Pop Store,26.5
Guanajuato,Celaya,2023,8,25,Mom and Pop Store,24.0
Guanajuato,León,2023,8,25,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,8,25,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,8,25,Mom and Pop Store,26.0
Hidalgo,Pachuca,2023,8,25,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,8,25,Mom and Pop Store,24.85
Jalisco,ZM Guadalajara,2023,8,25,Mom and Pop Store,24.65
Edo. México,Toluca,2023,8,25,Mom and Pop Store,19.43
Michoacán,Morelia,2023,8,25,Mom and Pop Store,21.86
Morelos,Cuernavaca,2023,8,25,Mom and Pop Store,26.0
Nayarit,Tepic,2023,8,25,Mom and Pop Store,23.67
Nuevo León,Monterrey,2023,8,25,Mom and Pop Store,24.75
Nuevo León,ZM Monterrey,2023,8,25,Mom and Pop Store,24.58
Oaxaca,Oaxaca,2023,8,25,Mom and Pop Store,22.67
Puebla,Puebla,2023,8,25,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,8,25,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,8,25,Mom and Pop Store,24.0
Quintana Roo,Cancún,2023,8,25,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,8,25,Mom and Pop Store,26.0
San Luis Potosí,San Luis Potosí,2023,8,25,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,8,25,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,8,25,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,8,25,Mom and Pop Store,30.83
Sonora,Nogales,2023,8,25,Mom and Pop Store,28.0
Sonora,San Luis Río Colorado,2023,8,25,Mom and Pop Store,30.33
Tabasco,Villahermosa,2023,8,25,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,8,25,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,8,25,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,8,25,Mom and Pop Store,26.33
Tamaulipas,Reynosa,2023,8,25,Mom and Pop Store,27.25
Tamaulipas,Tampico,2023,8,25,Mom and Pop Store,27.0
Tlaxcala,Tlaxcala,2023,8,25,Mom and Pop Store,17.0
Veracruz,Coatzacoalcos,2023,8,25,Mom and Pop Store,23.0
Veracruz,Veracruz,2023,8,25,Mom and Pop Store,22.75
Veracruz,Xalapa,2023,8,25,Mom and Pop Store,22.5
Yucatán,Mérida,2023,8,25,Mom and Pop Store,27.64
Zacatecas,Zacatecas,2023,8,25,Mom and Pop Store,21.0
Aguascalientes,Aguascalientes,2023,8,28,Mom and Pop Store,22.0
Baja California,Mexicali,2023,8,28,Mom and Pop Store,30.14
Baja California,Tijuana,2023,8,28,Mom and Pop Store,25.64
Baja California Sur,La Paz,2023,8,28,Mom and Pop Store,27.0
Campeche,Campeche,2023,8,28,Mom and Pop Store,25.0
Coahuila,Piedras Negras,2023,8,28,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,8,28,Mom and Pop Store,22.0
Coahuila,Torreón,2023,8,28,Mom and Pop Store,24.0
Colima,Colima,2023,8,28,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,8,28,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,8,28,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,8,28,Mom and Pop Store,25.5
Chihuahua,Cd. Juárez,2023,8,28,Mom and Pop Store,24.22
D.F.,D.F.,2023,8,28,Mom and Pop Store,20.15
D.F.,ZM D.F.,2023,8,28,Mom and Pop Store,19.96
Durango,Durango,2023,8,28,Mom and Pop Store,21.5
Durango,Gómez Palacio,2023,8,28,Mom and Pop Store,26.5
Guanajuato,Celaya,2023,8,28,Mom and Pop Store,24.0
Guanajuato,León,2023,8,28,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,8,28,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,8,28,Mom and Pop Store,26.0
Hidalgo,Pachuca,2023,8,28,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,8,28,Mom and Pop Store,24.85
Jalisco,ZM Guadalajara,2023,8,28,Mom and Pop Store,24.65
Edo. México,Toluca,2023,8,28,Mom and Pop Store,19.43
Michoacán,Morelia,2023,8,28,Mom and Pop Store,21.86
Morelos,Cuernavaca,2023,8,28,Mom and Pop Store,26.0
Nayarit,Tepic,2023,8,28,Mom and Pop Store,23.67
Nuevo León,Monterrey,2023,8,28,Mom and Pop Store,24.75
Nuevo León,ZM Monterrey,2023,8,28,Mom and Pop Store,24.58
Oaxaca,Oaxaca,2023,8,28,Mom and Pop Store,22.67
Puebla,Puebla,2023,8,28,Mom and Pop Store,16.0
Puebla,ZM Puebla,2023,8,28,Mom and Pop Store,15.0
Querétaro,Querétaro,2023,8,28,Mom and Pop Store,24.0
Quintana Roo,Cancún,2023,8,28,Mom and Pop Store,26.0
Quintana Roo,Chetumal,2023,8,28,Mom and Pop Store,26.0
San Luis Potosí,San Luis Potosí,2023,8,28,Mom and Pop Store,22.0
Sinaloa,Culiacán,2023,8,28,Mom and Pop Store,26.0
Sonora,Cd. Obregón,2023,8,28,Mom and Pop Store,27.67
Sonora,Hermosillo,2023,8,28,Mom and Pop Store,30.83
Sonora,Nogales,2023,8,28,Mom and Pop Store,28.0
Sonora,San Luis Río Colorado,2023,8,28,Mom and Pop Store,30.33
Tabasco,Villahermosa,2023,8,28,Mom and Pop Store,22.6
Tamaulipas,Cd. Victoria,2023,8,28,Mom and Pop Store,24.5
Tamaulipas,Matamoros,2023,8,28,Mom and Pop Store,30.0
Tamaulipas,Nuevo Laredo,2023,8,28,Mom and Pop Store,26.33
Tamaulipas,Reynosa,2023,8,28,Mom and Pop Store,27.25
Tamaulipas,Tampico,2023,8,28,Mom and Pop Store,27.0
Tlaxcala,Tlaxcala,2023,8,28,Mom and Pop Store,17.0
Veracruz,Coatzacoalcos,2023,8,28,Mom and Pop Store,23.0
Veracruz,Veracruz,2023,8,28,Mom and Pop Store,22.75
Veracruz,Xalapa,2023,8,28,Mom and Pop Store,22.5
Yucatán,Mérida,2023,8,28,Mom and Pop Store,27.64
Zacatecas,Zacatecas,2023,8,28,Mom and Pop Store,21.0
Aguascalientes,Aguascalientes,2023,8,30,Mom and Pop Store,22.0
Baja California,Mexicali,2023,8,30,Mom and Pop Store,30.29
Baja California,Tijuana,2023,8,30,Mom and Pop Store,25.64
Baja California Sur,La Paz,2023,8,30,Mom and Pop Store,27.0
Campeche,Campeche,2023,8,30,Mom and Pop Store,25.0
Coahuila,Piedras Negras,2023,8,30,Mom and Pop Store,30.0
Coahuila,Saltillo,2023,8,30,Mom and Pop Store,22.0
Coahuila,Torreón,2023,8,30,Mom and Pop Store,24.0
Colima,Colima,2023,8,30,Mom and Pop Store,26.0
Chiapas,Tapachula,2023,8,30,Mom and Pop Store,24.0
Chiapas,Tuxtla Gutiérrez,2023,8,30,Mom and Pop Store,21.0
Chihuahua,Chihuahua,2023,8,30,Mom and Pop Store,25.5
Chihuahua,Cd. Juárez,2023,8,30,Mom and Pop Store,24.22
D.F.,D.F.,2023,8,30,Mom and Pop Store,20.15
D.F.,ZM D.F.,2023,8,30,Mom and Pop Store,19.96
Durango,Durango,2023,8,30,Mom and Pop Store,21.5
Durango,Gómez Palacio,2023,8,30,Mom and Pop Store,26.5
Guanajuato,Celaya,2023,8,30,Mom and Pop Store,24.0
Guanajuato,León,2023,8,30,Mom and Pop Store,22.0
Guerrero,Acapulco,2023,8,30,Mom and Pop Store,29.0
Guerrero,Chilpancingo,2023,8,30,Mom and Pop Store,26.0
Hidalgo,Pachuca,2023,8,30,Mom and Pop Store,23.0
Jalisco,Guadalajara,2023,8,30,Mom and Pop Store,24.92
Jalisco,ZM Guadalajara,2023,8,30,Mom and Pop Store,24.65
Edo. México,Toluca,2023,8,30,Mom and Pop Store,19.43
Michoacán,Morelia,2023,8,30,Mom and Pop Store,21.86
Morelos,Cuernavaca,2023,8,30,Mom and Pop Store,26.0
Nayarit,Tepic,2023,8,30,Mom and Pop Store,23.67
Nuevo León,Monterrey,2023,8,30,Mom and Pop Store,24.75
